MACH,ALPHA,CYPHI,CN0,CNPHI,Cm0,CmPHI,CnPHI,CmQ,CnR,ClPHI,ClP,CAon,CAoff,CYDELTAR,CNDELTAQ,CnDELTAR,CmDELTAQ,ClDELTAP,CADELTAEFF2
0.02,0,0.0,-0.0,0.0,0.0,0.0,0.0,-1139.1121,-1138.8843,0.0,-12.9603,-0.7586,-0.7681,6.0704581780068265,-6.0704581780068265,-51.53384143697893,-51.53384143697893,3.949971039631895,-13.367587457247822
0.02,1,-0.0004717182517455171,-0.178,-0.0009191103583157328,-0.4471,-0.003142004397237528,0.0020380946194819517,-1143.3478,-1137.9138,0.0,-13.1277,-0.7581,-0.7675,6.085437226884918,-6.150349869099016,-51.666698256387875,-52.253183949781935,3.954554701992942,-14.260510784451021
0.02,2,-0.0035657678964653864,-0.3714,-0.006554691546642829,-0.8776,-0.017280300348858302,0.010183862238657455,-1147.8904,-1136.7611,0.0003042120903556789,-13.5405,-0.7559,-0.7653,6.108557697810181,-6.21221985729276,-51.87055753007896,-52.813804488565175,3.969451604666343,-15.114040435454067
0.02,3,-0.009572290651942398,-0.5834,-0.01535018293204984,-1.2971,-0.04559122793750816,0.027055976282607152,-1152.2551,-1135.5973,0.0012204258412948565,-14.0572,-0.7516,-0.761,6.135757526261713,-6.244454910541282,-52.111410947576886,-53.12415625424438,3.9900780852910533,-15.875651508656794
0.02,5,-0.05177637160514166,-1.0241,-0.06056800119082623,-1.9013,-0.2452565953093471,0.22816496574958525,-1159.7461,-1130.8716,-0.008313052020869178,-15.0077,-0.7352,-0.7446,6.185861815402391,-6.2417393319836485,-52.54218185056795,-53.16499292333011,4.035914708901519,-17.14938037246136
0.02,7,-0.11299645982853572,-1.5181,-0.12393521372914432,-2.4507,-0.5062019419091863,0.4927029901292464,-1164.7437,-1123.2003,-0.017294331836503092,-15.9415,-0.7054,-0.7148,6.229988878724471,-6.192208088601046,-52.918085388689924,-52.808828314954944,4.0874809104632925,-18.423109236265905
0.02,10,-0.25820310740030966,-2.3615,-0.22821459285288026,-3.1186,-0.9863002198519665,1.1407746860354147,-1174.8792,-1101.0016,-0.03972391848707774,-17.2319,-0.63,-0.6393,6.29946507238045,-6.094511551587228,-53.11704148771185,-51.947533457134845,4.12071246258088,-19.657444423870317
0.02,15,-0.6093521072341614,-3.9471,-0.44227200338772743,-3.6934,-1.8190515127388391,3.5792744616847685,-1177.8274,-1044.6785,-0.14830827533137414,-19.0385,-0.4079,-0.417,6.204204689617719,-5.782057557531201,-52.641333138409706,-49.53076049986708,4.038206540082042,-20.497842849473326
0.02,20,-0.9754385000139325,-5.845,-0.6028321425351381,-4.2648,-2.67470335340548,6.151298807335562,-1167.6725,-961.2803,-0.2784768272767813,-20.1596,-0.0668,-0.0757,5.827285554140901,-5.225419984960844,-49.40475390846477,-44.929377395981916,3.7826673634536947,-20.208955890672296
0.02,25,-1.200132766320549,-7.965,-0.7975259084572179,-4.7063,-4.2001918655254284,7.621172530748359,-1140.7352,-891.4724,-0.36970996830731384,-20.6196,0.3535,0.3449,5.396048360534995,-4.2554306579986925,-45.64046679561877,-36.809844824078226,3.372429582140026,-19.119064182468396
0.1,0,0.0,-0.0,0.0,0.0,0.0,0.0,-1143.9392,-1143.6995,0.0,-12.9781,-0.6532,-0.6627,6.0804607982410115,-6.0804607982410115,-51.63452262569449,-51.63452262569449,3.955700617583204,-9.559532091234196
0.1,1,-0.00047557631022058166,-0.1781,-0.000988560212222368,-0.4501,-0.003270198953591378,0.0020627528450805244,-1148.3066,-1142.7406,0.0,-13.1455,-0.6525,-0.6619,6.095121127012682,-6.160033739610428,-51.767434230767684,-52.35249565588917,3.961430195534512,-10.347405615237015
0.1,2,-0.0035819784654509247,-0.3717,-0.0066069209780272,-0.8838,-0.01756263982355522,0.010340400968025042,-1153.0031,-1141.6193,0.0003042120903556789,-13.5581,-0.6496,-0.659,6.118299806916157,-6.221150678496551,-51.972045725857605,-52.90845138413368,3.9763270982079124,-11.384772421840728
0.1,3,-0.0095516328133799,-0.584,-0.01533881269902503,-1.3065,-0.04632107609932955,0.02746775908868518,-1157.535,-1140.5043,0.0012204258412948565,-14.0746,-0.6445,-0.654,6.145417237494565,-6.252700124287779,-52.213160548465,-53.2127238493216,3.996953578832623,-12.487795355444684
0.1,5,-0.051955851786631785,-1.0253,-0.06063669648868012,-1.9145,-0.24838416599178714,0.2309194552761501,-1165.3853,-1135.9017,-0.008398060498659182,-15.0244,-0.6273,-0.6367,6.195110283840467,-6.248721081223085,-52.647041047966155,-53.239102135110976,4.042790202443088,-14.549397743252051
0.1,7,-0.11339552129434212,-1.5204,-0.12429930488126913,-2.465,-0.5133707361170229,0.49933293134189827,-1170.6945,-1128.3932,-0.017451861857686015,-15.9576,-0.5979,-0.6073,6.23895340684857,-6.198106937119428,-53.02416252689941,-52.87532453872853,4.094356404004863,-16.847362188260266
0.1,10,-0.25835220561600813,-2.3683,-0.22841890165842535,-3.1357,-0.9980600668779243,1.1515626153372618,-1181.4628,-1106.5474,-0.03970039080510852,-17.2495,-0.5278,-0.5371,6.307388139209436,-6.099275102413048,-53.230537168095914,-52.01388619028946,4.126442040532189,-19.145326633268482
0.1,15,-0.6097636583098535,-3.9688,-0.442174933013987,-3.6881,-1.8484392731136658,3.6037407442601075,-1185.584,-1050.6521,-0.14830340258889274,-19.0522,-0.3262,-0.3354,6.212398941202422,-5.786364098386097,-52.75443524759425,-49.628443653290354,4.042790202443088,-20.81299225907446
0.1,20,-0.9759214444916348,-5.8933,-0.6028198867645919,-4.2105,-2.7174914160114745,6.184992400741507,-1176.0619,-967.4495,-0.2783944049277811,-20.1683,-0.0266,-0.0355,5.83224906242304,-5.227394632663763,-49.45437095853712,-45.0604404322541,3.78610511022448,-20.510974074873378
0.1,25,-1.2005078996372887,-8.0546,-0.7976814662059692,-4.5769,-4.2418607649358835,7.650564643999663,-1148.7866,-898.804,-0.36944016492942644,-20.6216,0.3257,0.3171,5.398193884258852,-4.2609152725237065,-45.60255235956332,-36.93335594718429,3.3735754977302874,-18.501896588666185
0.2,0,0.0,-0.0,0.0,0.0,0.0,0.0,-1156.0865,-1155.8401,0.0,-13.0301,-0.6503,-0.6598,6.1089589850093935,-6.1089589850093935,-51.90022523733332,-51.90022523733332,3.9751811826176513,-8.679739989431056
0.2,1,-0.000497604615333959,-0.1785,-0.00098854799595356,-0.4558,-0.003279566262928713,0.002077974546885764,-1160.5703,-1154.8922,0.0,-13.1975,-0.6495,-0.6589,6.123768807840279,-6.188388429828695,-52.033378589117966,-52.615744102748984,3.98091076056896,-9.42821983723374
0.2,2,-0.003552564111681609,-0.3726,-0.006565806939438643,-0.8951,-0.017775109464028337,0.01043388330491015,-1165.4097,-1153.8003,0.0003042120903556789,-13.61,-0.6464,-0.6558,6.146738348287747,-6.248378514293449,-52.238524126039486,-53.163500176644376,3.9946617476520996,-10.49184909463753
0.2,3,-0.009516645324155752,-0.5854,-0.015293217557068875,-1.3235,-0.04659098658997128,0.027745644165020147,-1170.1039,-1152.7288,0.0012439535232640878,-14.1263,-0.641,-0.6504,6.173948439820349,-6.278635310824832,-52.48028478532079,-53.45191017831068,4.015288228276809,-11.673659380641759
0.2,5,-0.05213902961166606,-1.0279,-0.060803527856129316,-1.9389,-0.25126546678501616,0.23367678288128735,-1178.2679,-1148.2112,-0.008485200269496385,-15.075,-0.6231,-0.6325,6.223010646422274,-6.2701214974577955,-52.91208376600065,-53.4461701189842,4.061124851887275,-13.919098924049791
