MACH,ALPHA,CYPHI,CN0,CNPHI,Cm0,CmPHI,CnPHI,CmQ,CnR,ClPHI,ClP,CAon,CAoff,CYDELTAR,CNDELTAQ,CnDELTAR,CmDELTAQ,ClDELTAP,CADELTAEFF2
0.01,0,0.0,-0.0,0.0,0.0,0.0,0.0,-655.768,-655.6648,0.0,-12.7066,-0.7442,-0.7536,0.10584882854742042,-0.10584882854742042,-0.7040016129401482,-0.7040016129401482,0.06884,-0.004199999999999999
0.01,1,-0.000546513461969632,-0.1712,-0.0010800826443524954,-0.245,-0.0019725714404791434,0.001309065288487258,-644.414,-654.6532,0.0,-12.8737,-0.7437,-0.7531,0.10614269372918742,-0.10743281074210813,-0.7061306707200343,-0.715401994030515,0.06896,-0.00452
0.01,2,-0.0037901853309041467,-0.3563,-0.006999329215101876,-0.4736,-0.009974180872788,0.00561002538220684,-632.2051,-651.953,0.0005613688167728949,-13.2812,-0.7417,-0.7511,0.10663093397332654,-0.10859234506323498,-0.709569561102273,-0.7239062652544268,0.06932,-0.004815999999999998
0.01,3,-0.010236483864679307,-0.5583,-0.016859799904560616,-0.6884,-0.03165596006580308,0.01619355570753741,-619.2899,-647.446,0.0020245259526026553,-13.7813,-0.7378,-0.7472,0.10723834743896243,-0.10889671914951074,-0.7138091178641466,-0.7267511194821881,0.06986,-0.005099999999999998
0.01,5,-0.04223488949269531,-0.9917,-0.05425063644052926,-0.9976,-0.13730131917927127,0.11400542371534184,-593.1708,-633.571,0.0005814560293366531,-14.7042,-0.723,-0.7324,0.10825970690406066,-0.10681562051426656,-0.720883882434458,-0.7144549262583786,0.07126,-0.005651999999999999
0.01,7,-0.09286346775381718,-1.4649,-0.1149256131890492,-1.2236,-0.29775345808459935,0.2359487401461421,-564.2639,-613.9383,0.0014625752072773563,-15.5888,-0.697,-0.7064,0.10884066029391326,-0.10138051508617636,-0.7248809687851353,-0.6798606091901297,0.0722,-0.006164
0.01,10,-0.19651171585630312,-2.2514,-0.22469457787691294,-1.4723,-0.5417049947631102,0.41935617822698157,-514.9803,-578.7436,0.004150378869305007,-16.7881,-0.6322,-0.6415,0.10823910905017797,-0.08774980258199341,-0.7202657377496353,-0.5915790781485947,0.0712,-0.006680000000000002
0.01,15,-0.5278962125208503,-3.633,-0.46277574448913716,-0.5975,-1.377437769086919,1.8726262027727203,-476.1966,-526.7818,-0.13904017696402177,-17.8854,-0.4481,-0.4572,0.1024945248041457,-0.06183652884985562,-0.6797743003263937,-0.4207520264555786,0.06304,-0.006679999999999999
0.01,20,-1.029397147983075,-4.9774,-0.7807510020559645,1.9911,-3.023312934935189,4.801230433783763,-494.148,-487.6353,-0.5268409240334515,-18.7074,-0.1832,-0.1921,0.09064307240118685,-0.038030905940341544,-0.6009465063626356,-0.2636160401691105,0.0504,-0.0057799999999999995
0.1,0,0.0,-0.0,0.0,0.0,0.0,0.0,-658.5603,-658.4438,0.0,-12.7409,-0.5729,-0.5823,0.10612406096774829,-0.10612406096774829,-0.7062206006490337,-0.7062206006490337,0.06904,-0.0029000000000000002
