MACH,ALPHA,CYPHI,CN0,CNPHI,Cm0,CmPHI,CnPHI,CmQ,CnR,ClPHI,ClP,CAon,CAoff,CYDELTAR,CNDELTAQ,CnDELTAR,CmDELTAQ,ClDELTAP,CADELTAEFF2
0.01,0,0.0,-0.0,0.0,0.0,0.0,0.0,-655.768,-655.6648,0.0,-12.7066,-0.7442,-0.7536,6.064691142171054,-6.064691142171054,-40.336321191873054,-40.336321191873054,3.944241461680587,-13.787786670049321
0.01,1,-0.000546513461969632,-0.1712,-0.0010800826443524954,-0.245,-0.0019725714404791434,0.001309065288487258,-644.414,-654.6532,0.0,-12.8737,-0.7437,-0.7531,6.081528376832148,-6.155446636750529,-40.45830721700002,-40.98951491319182,3.951116955222157,-14.838284702053082
0.01,2,-0.0037901853309041467,-0.3563,-0.006999329215101876,-0.4736,-0.009974180872788,0.00561002538220684,-632.2051,-651.953,0.0005613688167728949,-13.2812,-0.7417,-0.7511,6.109502482209757,-6.221883059551665,-40.65534112211043,-41.476773762156526,3.971743435846867,-15.809995381656554
0.01,3,-0.010236483864679307,-0.5583,-0.016859799904560616,-0.6884,-0.03165596006580308,0.01619355570753741,-619.2899,-647.446,0.0020245259526026553,-13.7813,-0.7378,-0.7472,6.144304710210108,-6.239322410088417,-40.89824983157194,-41.639771902737195,4.002683156783932,-16.74231238505989
0.01,5,-0.04223488949269531,-0.9917,-0.05425063644052926,-0.9976,-0.13730131917927127,0.11400542371534184,-593.1708,-633.571,0.0005814560293366531,-14.7042,-0.723,-0.7324,6.202824296925976,-6.12008424153849,-41.30360398249947,-40.93525192693555,4.082897248102246,-18.554421490266375
0.01,7,-0.09286346775381718,-1.4649,-0.1149256131890492,-1.2236,-0.29775345808459935,0.2359487401461421,-564.2639,-613.9383,0.0014625752072773563,-15.5888,-0.697,-0.7064,6.236110474258348,-5.808675639300277,-41.532620160742624,-38.9531435637875,4.136755280844544,-20.235218341472393
0.01,10,-0.19651171585630312,-2.2514,-0.22469457787691294,-1.4723,-0.5417049947631102,0.41935617822698157,-514.9803,-578.7436,0.004150378869305007,-16.7881,-0.6322,-0.6415,6.201644126831471,-5.0276933410543965,-41.26818690093068,-33.89498442615438,4.079459501331462,-21.929146418078457
0.01,15,-0.5278962125208503,-3.633,-0.46277574448913716,-0.5975,-1.377437769086919,1.8726262027727203,-476.1966,-526.7818,-0.13904017696402177,-17.8854,-0.4481,-0.4572,5.872503694476479,-3.5429721228356814,-38.94819843016086,-24.10731533748141,3.6119259405047095,-21.929146418078446
0.01,20,-1.029397147983075,-4.9774,-0.7807510020559645,1.9911,-3.023312934935189,4.801230433783763,-494.148,-487.6353,-0.5268409240334515,-18.7074,-0.1832,-0.1921,5.1934654906867594,-2.179010401440582,-34.431698527710694,-15.104086513641208,2.887707287459349,-18.97462070306788
0.1,0,0.0,-0.0,0.0,0.0,0.0,0.0,-658.5603,-658.4438,0.0,-12.7409,-0.5729,-0.5823,6.0804607982410115,-6.0804607982410115,-40.4634598223836,-40.4634598223836,3.955700617583204,-9.520138415034058
0.1,1,-0.0005334031814264529,-0.1715,-0.0010648966028597945,-0.2485,-0.0019191870106587613,0.0013420329512128565,-647.0967,-657.4358,0.0,-12.9076,-0.5721,-0.5815,6.0971781060501264,-6.170124445480155,-40.58443476546144,-41.107732067385,3.9625761111247733,-10.426192967637288
0.1,2,-0.003792042080224281,-0.3569,-0.006990946328989549,-0.4804,-0.010194968914706134,0.005701554688382684,-634.7948,-654.7462,0.0005613688167728949,-13.3142,-0.569,-0.5784,6.125166743655125,-6.234879995903548,-40.78125247850426,-41.584209148048444,3.983202591749483,-11.726184282241956
0.1,3,-0.010261476086530861,-0.5593,-0.016795724394467672,-0.6985,-0.03216713026776427,0.016530027083787653,-621.8026,-650.2537,0.0020245259526026553,-13.813,-0.5636,-0.573,6.159582358952295,-6.250397807979944,-41.024039733409246,-41.731800304537515,4.014142312686547,-13.262537654047444
0.1,5,-0.04230652007074863,-0.9935,-0.0543356188343416,-1.0117,-0.14009760535197896,0.11614219553142817,-595.6205,-636.466,0.0005579283473674216,-14.7327,-0.5458,-0.5552,6.217072635298225,-6.126650580898093,-41.42880717624426,-40.998375152866664,4.09206457282434,-16.75544361045995
0.1,7,-0.09312512358011946,-1.468,-0.11506377065733644,-1.2379,-0.30518075476758716,0.24193159066726283,-566.7793,-616.9449,0.0013285728680636623,-15.6152,-0.5169,-0.5262,6.248337324863194,-5.810141250550752,-41.65230978955048,-39.00272223262673,4.145922605566637,-20.19582466527224
